aX,aY,aZ,gX,gY,gZ
0.080,-0.543,0.767,-243.469,-8.362,70.313
0.093,-0.668,0.810,-257.019,-2.563,62.866
0.227,-0.824,0.800,-274.414,4.089,53.101
0.336,-0.930,0.702,-296.204,8.667,51.575
0.366,-0.999,0.602,-312.561,11.230,62.012
0.325,-1.045,0.599,-318.054,10.376,78.735
0.239,-1.008,0.604,-317.627,4.150,94.299
0.161,-0.892,0.624,-311.890,-4.578,105.957
0.097,-0.759,0.675,-303.955,-11.719,110.962
0.042,-0.616,0.741,-298.401,-15.808,109.375
0.019,-0.457,0.825,-297.546,-19.043,103.088
0.024,-0.391,0.864,-308.228,-24.658,96.130
0.039,-0.336,0.855,-327.087,-32.043,92.041
-0.422,1.522,-0.583,-61.646,57.983,67.383
-0.399,1.541,-0.608,-49.133,35.706,56.824
-0.388,1.529,-0.614,-34.729,16.235,44.861
-0.348,1.536,-0.615,-20.264,2.075,31.250
-0.334,1.575,-0.583,-5.554,-4.883,17.517
-0.324,1.548,-0.546,8.972,-6.897,3.967
-0.275,1.650,-0.545,27.954,-6.042,-5.981
-0.336,1.824,-0.544,54.382,-5.371,-13.367
-0.464,1.949,-0.529,79.224,-5.188,-22.644
-0.554,2.173,-0.598,100.891,-6.531,-37.048
-0.677,2.391,-0.713,132.019,-12.024,-60.791
-0.755,2.567,-0.766,172.058,-15.930,-93.994
-0.647,2.615,-0.705,222.168,-16.418,-138.123
-0.363,2.644,-0.485,289.368,-16.785,-191.895
-0.101,2.546,-0.228,368.103,-23.926,-248.718
0.125,2.321,-0.074,447.510,-35.339,-307.617
0.490,2.007,0.015,538.452,-39.673,-368.652
1.100,1.565,0.334,639.709,-21.301,-422.119
1.698,1.060,0.640,728.394,8.667,-451.172
2.179,0.623,0.910,792.053,48.828,-436.646
2.191,0.329,1.097,827.576,100.159,-380.188
2.176,0.120,1.105,824.341,156.128,-327.393
2.515,0.344,0.874,791.748,202.637,-294.739
2.779,0.904,-0.028,757.385,222.229,-259.460
2.833,1.450,-1.341,714.111,238.159,-226.135
2.196,1.696,-2.184,640.686,278.625,-208.435
0.933,1.421,-2.846,547.485,299.744,-209.595
-0.203,0.713,-3.541,497.742,257.690,-222.351
-0.722,-0.098,-4.000,523.743,164.246,-245.850
-1.223,-1.119,-3.881,608.521,57.922,-270.508
-1.680,-1.931,-2.862,725.342,-31.799,-310.913
-2.141,-2.210,-1.374,831.543,-86.121,-353.638
-2.620,-2.181,-0.067,877.441,-90.027,-381.531
-2.911,-2.066,0.695,828.979,-53.345,-422.546
-2.953,-2.241,1.003,724.915,-22.461,-469.910
-2.637,-2.777,1.112,619.019,-30.640,-488.159
-2.061,-3.577,1.192,529.724,-63.599,-473.999
-1.351,-4.000,1.434,469.543,-88.196,-455.139
-0.184,-4.000,2.251,440.613,-91.370,-449.524
1.246,-4.000,2.805,408.752,-129.761,-416.321
2.430,-3.219,3.003,333.801,-180.115,-269.714
1.770,-1.206,3.007,215.088,-228.943,1.648
-0.084,0.352,2.517,57.312,-221.680,230.469
-1.346,1.378,1.465,-87.585,-132.507,288.513
-1.467,1.555,0.199,-166.260,-18.982,214.905
-1.401,1.022,-0.633,-183.533,68.359,127.563
-1.414,0.170,-1.247,-175.659,90.820,72.083
-1.161,-0.604,-1.781,-162.109,68.665,38.635
-0.736,-1.117,-1.993,-137.268,20.264,20.142
-0.504,-1.320,-1.786,-89.844,-43.701,22.949
-0.463,-1.354,-1.288,-32.654,-92.346,41.748
-0.348,-1.313,-0.791,9.338,-118.164,51.514
-0.151,-1.289,-0.156,45.837,-120.667,49.561
0.114,-1.112,0.477,82.336,-115.295,40.222
